date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2008,west,Los Angeles,5117,68749,48.9,2.8,0.7,0.3,1.4,1.8,53,56529,7531,4260,511,996,438,864,1451,3271,504,21811,14938,8271,6086,580,3257,1370,643,1603,2140,8784,2513,2667,2989,615,2620,2599,710,108,895,202,909,1659,6058,259,5799
2010,northeast,Boston-Manchester,2947,85746,50.2,2.4,0.6,0.3,1.4,1.7,64,64802,8080,5089,780,1028,528,1019,1734,2991,736,21053,12862,8260,3499,1104,4121,1569,641,1859,1877,9127,3382,2489,2579,678,4107,3688,734,166,2542,479,1267,2672,8276,437,7839
2008,west,San Diego,1086,67554,47,2.3,0.5,0.3,1.2,1.5,53,53820,6541,3644,453,726,397,785,1283,2897,647,22207,15146,7741,6973,432,2989,1571,678,1823,2407,7171,1941,2412,2373,445,2249,2459,685,83,720,101,666,1484,6399,224,6175
2011,northeast,Boston-Manchester,2918,79833,50.5,2.4,0.6,0.4,1.4,1.7,63,64982,8563,5408,814,1101,569,1104,1819,3155,813,20637,12583,7749,3548,1286,4046,1526,606,1875,2022,9610,3338,2787,2593,893,4135,3485,710,166,2306,451,1315,3251,7518,373,7144
2008,west,Phoenix,1633,65128,46.1,2.7,0.8,0.2,1.4,1.9,70,53618,6402,3596,464,800,362,608,1363,2806,503,18698,11185,7695,2918,573,3892,1174,633,1813,1793,9330,2887,2658,3275,509,3326,3814,868,98,473,340,884,1814,5274,179,5095
2007,northeast,Boston-Manchester,2744,75087,49.8,2.4,0.6,0.3,1.3,1.7,64,55954,7446,4629,641,1044,522,802,1620,2817,604,20677,13051,8804,3155,1092,4067,1215,527,1817,2097,8067,2572,2224,2615,657,2936,3334,594,177,1538,349,868,1042,6222,268,5954
2009,west,Los Angeles,5540,69782,48.3,2.9,0.7,0.3,1.4,1.8,52,54576,7182,3942,489,883,388,828,1353,3240,491,20584,14126,7433,6070,623,3049,1325,597,1487,2340,8540,2260,2334,3339,608,2478,2416,646,92,1112,196,804,1550,6145,233,5912
2005,northeast,Boston-Manchester,3127,76273,47.3,2.3,0.6,0.2,1.4,1.8,63,53691,6865,3760,561,866,405,634,1295,3105,573,18922,12256,8351,3020,885,3590,918,584,1574,1690,9170,4011,1958,2625,576,2794,2555,554,189,1779,302,699,1330,6269,360,5909
2009,west,San Diego,1193,76848,47,2.4,0.5,0.3,1.3,1.6,50,52012,5831,3319,447,663,347,717,1146,2512,581,21679,15305,7877,6989,439,3114,1352,547,1362,2398,6963,1819,2246,2461,438,2370,2278,681,79,754,132,536,1447,6283,234,6049
2004,northeast,Boston-Manchester,2876,67927,48.8,2.4,0.6,0.3,1.3,1.8,64,51679,7223,3977,579,998,410,686,1304,3247,834,17805,11364,7882,2899,583,3169,917,684,1670,1929,8586,3759,1747,2502,579,2624,2347,591,195,1744,287,599,1063,5851,393,5458
